,日期,三月期收益率,六月期收益率,一年期收益率,二年期收益率,三年期收益率,五年期收益率,七年期收益率,十年期收益率,二十年期收益率,三十年期收益率
0,2015-01-13,0.033433,0.032123,0.032014,0.03232,0.032681,0.034551,0.035301,0.035835,0.039918,0.040921
1,2015-01-14,0.033433,0.03218,0.032012,0.032196,0.03246,0.034379,0.034925,0.035411,0.039494,0.040497
2,2015-01-15,0.032933,0.032248,0.032059,0.03209,0.032267,0.034575,0.034957,0.035464,0.039694,0.040697
3,2015-01-16,0.03208,0.031601,0.032029,0.032088,0.032248,0.034011,0.03439,0.035017,0.039247,0.04025
4,2015-01-19,0.031906,0.031801,0.031887,0.032026,0.032254,0.034013,0.034385,0.03475,0.03898,0.039983
5,2015-01-20,0.032206,0.031776,0.031812,0.031936,0.032165,0.03399,0.034276,0.034711,0.038941,0.039944
6,2015-01-21,0.032006,0.032028,0.031752,0.031909,0.032161,0.03382,0.034132,0.034672,0.038902,0.039905
7,2015-01-22,0.031606,0.031533,0.031652,0.031809,0.032055,0.033651,0.033986,0.034521,0.03875,0.039753
8,2015-01-23,0.031706,0.031454,0.031606,0.031741,0.03196,0.033513,0.034002,0.03452,0.038749,0.039752
9,2015-01-26,0.031428,0.03128,0.031427,0.03143,0.031534,0.033272,0.033645,0.034341,0.03857,0.039573
10,2015-01-27,0.031428,0.031096,0.030817,0.031241,0.031701,0.03322,0.033979,0.034309,0.038538,0.039541
11,2015-01-28,0.031147,0.031217,0.030955,0.031333,0.031794,0.033806,0.034275,0.034767,0.038638,0.039674
12,2015-01-29,0.031547,0.031028,0.03098,0.031405,0.031926,0.034086,0.034502,0.034966,0.038838,0.039874
13,2015-01-30,0.031847,0.031428,0.030963,0.031553,0.032198,0.034117,0.034402,0.035019,0.03889,0.039926
14,2015-02-02,0.031947,0.031368,0.030832,0.031417,0.032044,0.033753,0.034036,0.034729,0.0386,0.039636
15,2015-02-03,0.032347,0.031567,0.030907,0.031432,0.032033,0.033787,0.033901,0.034533,0.038403,0.039439
16,2015-02-04,0.031699,0.031543,0.030906,0.031288,0.031788,0.033697,0.033851,0.034589,0.038459,0.039495
17,2015-02-05,0.031513,0.030543,0.030804,0.03082,0.03098,0.033384,0.03368,0.034018,0.037888,0.038924
18,2015-02-06,0.031513,0.030286,0.030912,0.031066,0.031377,0.033498,0.033843,0.034325,0.038189,0.039225
19,2015-02-09,0.031228,0.030586,0.030856,0.031147,0.031536,0.03328,0.03358,0.034236,0.0381,0.039136
20,2015-02-10,0.031516,0.031162,0.030932,0.031102,0.031443,0.033277,0.033453,0.034299,0.038163,0.039199
21,2015-02-11,0.031516,0.030786,0.030928,0.031037,0.031308,0.032856,0.032982,0.033954,0.037819,0.038855
22,2015-02-12,0.031388,0.030789,0.030872,0.030947,0.031145,0.032509,0.032718,0.033865,0.037729,0.038855
23,2015-02-13,0.031088,0.030815,0.030859,0.03086,0.030872,0.032167,0.032613,0.033552,0.037416,0.039055
24,2015-02-15,0.031135,0.03052,0.030656,0.03066,0.030733,0.032118,0.032413,0.033625,0.037489,0.039128
25,2015-02-16,0.030756,0.030182,0.030801,0.030527,0.030588,0.031966,0.032206,0.033374,0.037238,0.038877
26,2015-02-17,0.030756,0.030182,0.030623,0.030744,0.030948,0.031974,0.032314,0.033373,0.037238,0.038877
27,2015-02-25,0.030656,0.030014,0.030353,0.030524,0.030764,0.031821,0.031982,0.03349,0.037354,0.038993
28,2015-02-26,0.030491,0.029858,0.030353,0.030524,0.030762,0.031934,0.032258,0.033594,0.037458,0.039052
29,2015-02-27,0.030691,0.030531,0.030438,0.030786,0.031142,0.032128,0.032412,0.033745,0.037609,0.039203
30,2015-02-28,0.030991,0.030731,0.030396,0.030866,0.031311,0.032164,0.032257,0.033602,0.037466,0.03906
31,2015-03-02,0.030811,0.030231,0.030488,0.030959,0.031428,0.03233,0.032745,0.033883,0.037747,0.039341
32,2015-03-03,0.030511,0.030233,0.030341,0.030843,0.031364,0.032541,0.033022,0.034022,0.037886,0.03948
33,2015-03-04,0.030811,0.030229,0.030291,0.030928,0.031524,0.032406,0.032926,0.033869,0.037733,0.039327
34,2015-03-05,0.030811,0.030624,0.030518,0.031269,0.031961,0.032882,0.033427,0.034369,0.038233,0.039827
35,2015-03-06,0.031061,0.030911,0.030576,0.031643,0.032515,0.033015,0.033425,0.034753,0.038617,0.040211
36,2015-03-09,0.03191,0.031325,0.030787,0.031728,0.032563,0.033327,0.033962,0.034922,0.038786,0.04038
37,2015-03-10,0.031942,0.031288,0.030812,0.031837,0.03271,0.033269,0.033624,0.035228,0.039092,0.040686
38,2015-03-11,0.031763,0.03123,0.030615,0.031377,0.032085,0.032969,0.033161,0.034466,0.03833,0.039924
39,2015-03-12,0.031469,0.031182,0.030495,0.031288,0.032016,0.032825,0.032961,0.034412,0.038276,0.03987
40,2015-03-13,0.031676,0.031261,0.030944,0.031602,0.03226,0.033305,0.033411,0.034879,0.038743,0.040337
41,2015-03-16,0.031496,0.031198,0.030944,0.03165,0.032356,0.033397,0.03383,0.035301,0.039165,0.040759
42,2015-03-17,0.031496,0.031224,0.031142,0.031675,0.032207,0.033201,0.033902,0.035428,0.039292,0.040886
43,2015-03-18,0.031303,0.031282,0.031042,0.031687,0.032332,0.033404,0.034101,0.035519,0.039383,0.040977
44,2015-03-19,0.031192,0.031429,0.030992,0.031629,0.032267,0.033357,0.034051,0.035348,0.039683,0.041277
45,2015-03-20,0.031192,0.031327,0.03102,0.031589,0.032157,0.032943,0.03371,0.034958,0.039466,0.041059
46,2015-03-23,0.031424,0.03133,0.031032,0.031745,0.032458,0.033029,0.033976,0.034933,0.039441,0.041034
47,2015-03-24,0.031374,0.031063,0.031031,0.031734,0.032487,0.033086,0.034079,0.034841,0.039547,0.04114
48,2015-03-25,0.031574,0.031285,0.031183,0.031775,0.032367,0.033254,0.034066,0.035037,0.039743,0.041336
49,2015-03-26,0.032063,0.031942,0.031483,0.031929,0.032376,0.033799,0.034934,0.03544,0.040146,0.041739
50,2015-03-27,0.032736,0.031685,0.031833,0.03215,0.032466,0.034271,0.034838,0.035678,0.040384,0.04211
51,2015-03-30,0.032936,0.031656,0.031833,0.0323,0.032766,0.034526,0.03532,0.035849,0.040555,0.042281
52,2015-03-31,0.032673,0.031724,0.032236,0.032651,0.033066,0.034625,0.036047,0.036483,0.041189,0.042281
53,2015-04-01,0.032267,0.031127,0.032186,0.032552,0.032917,0.034524,0.035474,0.035997,0.040703,0.041795
54,2015-04-02,0.03137,0.031021,0.031743,0.032176,0.032609,0.034113,0.03502,0.035438,0.040153,0.041245
55,2015-04-03,0.03137,0.03109,0.031753,0.032181,0.03261,0.034013,0.03556,0.03572,0.040435,0.041527
56,2015-04-07,0.03153,0.031202,0.031801,0.032282,0.032763,0.034549,0.035579,0.035987,0.040702,0.041794
57,2015-04-08,0.03119,0.030927,0.031802,0.032411,0.03302,0.034749,0.036486,0.036938,0.041652,0.042744
58,2015-04-09,0.03019,0.030327,0.031202,0.031991,0.032779,0.034671,0.036547,0.03704,0.041783,0.042938
59,2015-04-10,0.03039,0.030327,0.031602,0.032085,0.032571,0.034695,0.036389,0.036947,0.041749,0.042938
60,2015-04-13,0.030072,0.030773,0.031602,0.03219,0.032779,0.03467,0.035863,0.036685,0.041749,0.042938
61,2015-04-14,0.030327,0.030721,0.031302,0.03166,0.032023,0.034744,0.035624,0.036211,0.041275,0.042574
62,2015-04-15,0.030501,0.030721,0.031002,0.031412,0.031827,0.03417,0.03541,0.035954,0.041018,0.042317
63,2015-04-16,0.030498,0.030501,0.030729,0.031358,0.031988,0.034207,0.035329,0.0356,0.040664,0.041963
64,2015-04-17,0.030448,0.0303,0.031628,0.031946,0.032273,0.033977,0.035307,0.035627,0.040691,0.04199
65,2015-04-20,0.02955,0.0298,0.030872,0.031192,0.031526,0.033165,0.034093,0.034554,0.039616,0.040915
66,2015-04-21,0.02885,0.029919,0.030092,0.030629,0.031193,0.032856,0.03357,0.034055,0.039117,0.040979
67,2015-04-22,0.028283,0.030194,0.030152,0.030783,0.03145,0.032891,0.033776,0.034052,0.039114,0.040976
68,2015-04-23,0.028199,0.029728,0.029713,0.030931,0.032109,0.032936,0.034118,0.034151,0.039213,0.040976
69,2015-04-24,0.028198,0.029731,0.029276,0.030838,0.032255,0.033075,0.0342,0.034453,0.040081,0.041845
70,2015-04-27,0.026971,0.029205,0.028663,0.030224,0.031722,0.03274,0.033712,0.033952,0.040082,0.041845
71,2015-04-28,0.027071,0.028996,0.028266,0.030108,0.031735,0.032623,0.033512,0.033803,0.039934,0.041697
72,2015-04-29,0.027071,0.029343,0.028267,0.030048,0.031663,0.032581,0.033617,0.034,0.04013,0.041715
73,2015-04-30,0.027044,0.027856,0.02694,0.029479,0.031561,0.032533,0.033503,0.033503,0.039633,0.041218
74,2015-05-04,0.026244,0.027659,0.027296,0.029425,0.031421,0.032656,0.033516,0.033804,0.039934,0.041519
75,2015-05-05,0.026531,0.027903,0.027278,0.02952,0.031496,0.032599,0.033623,0.034006,0.040134,0.041719
76,2015-05-06,0.025531,0.02708,0.02708,0.029396,0.031516,0.032788,0.034324,0.03456,0.040612,0.042196
77,2015-05-07,0.025419,0.027402,0.026912,0.029163,0.031273,0.032828,0.0344,0.034401,0.040513,0.042098
78,2015-05-08,0.025146,0.027039,0.026821,0.028935,0.030917,0.032484,0.034002,0.033703,0.039815,0.0414
79,2015-05-11,0.024198,0.026513,0.026562,0.028605,0.030523,0.03217,0.0341,0.033752,0.039864,0.041449
80,2015-05-12,0.023427,0.026036,0.025691,0.027899,0.029941,0.031677,0.0341,0.034002,0.040115,0.041601
81,2015-05-13,0.021927,0.024769,0.024501,0.027139,0.029361,0.030637,0.033914,0.034002,0.040115,0.041601
82,2015-05-14,0.020701,0.02385,0.023557,0.026248,0.028524,0.029869,0.033672,0.033803,0.03992,0.041406
83,2015-05-15,0.020574,0.023229,0.02344,0.025626,0.027681,0.030508,0.033559,0.033906,0.03992,0.041354
84,2015-05-18,0.020129,0.023148,0.02374,0.025985,0.028204,0.03082,0.033586,0.034109,0.039826,0.041366
85,2015-05-19,0.020447,0.023148,0.024574,0.026794,0.028995,0.031006,0.033746,0.034311,0.039876,0.041342
86,2015-05-20,0.020598,0.022448,0.024391,0.026438,0.028494,0.031197,0.033918,0.034282,0.039847,0.041372
87,2015-05-21,0.020998,0.023411,0.024373,0.026416,0.028446,0.031151,0.033874,0.034257,0.039651,0.041251
88,2015-05-22,0.020622,0.023161,0.023822,0.026078,0.028293,0.031538,0.033723,0.03416,0.039651,0.040751
89,2015-05-25,0.021122,0.022017,0.022462,0.025413,0.028389,0.031707,0.033874,0.03431,0.039451,0.040251
90,2015-05-26,0.019901,0.020757,0.020338,0.024745,0.02895,0.031997,0.034597,0.035214,0.039415,0.040023
91,2015-05-27,0.019167,0.019877,0.018707,0.02397,0.028766,0.031597,0.03485,0.035055,0.03927,0.04039
92,2015-05-28,0.019913,0.020463,0.019369,0.024314,0.029029,0.033171,0.035874,0.035652,0.03938,0.04006
93,2015-05-29,0.020038,0.021527,0.019387,0.024457,0.029196,0.032924,0.035831,0.035954,0.039518,0.04019
94,2015-06-01,0.020238,0.020627,0.019947,0.024763,0.02924,0.033434,0.036243,0.036404,0.039753,0.040321
95,2015-06-02,0.020036,0.020478,0.019651,0.024482,0.028956,0.032809,0.03566,0.03588,0.039753,0.040321
96,2015-06-03,0.019531,0.019525,0.019356,0.024302,0.028868,0.032647,0.03562,0.036111,0.039572,0.040221
97,2015-06-04,0.019131,0.019151,0.018813,0.024008,0.028782,0.032512,0.035419,0.035911,0.039373,0.040021
98,2015-06-05,0.019409,0.019012,0.018763,0.023931,0.028672,0.032418,0.035273,0.035814,0.039273,0.039922
99,2015-06-08,0.018605,0.018833,0.018576,0.023824,0.028603,0.032459,0.035116,0.035613,0.039422,0.04006
100,2015-06-09,0.019005,0.018609,0.017786,0.023442,0.028572,0.032453,0.035014,0.035565,0.039184,0.040145
101,2015-06-10,0.018131,0.018274,0.017097,0.02325,0.0288,0.032527,0.035181,0.035912,0.039534,0.040495
102,2015-06-11,0.017831,0.018074,0.017103,0.023379,0.029023,0.032733,0.035462,0.036197,0.039818,0.040779
103,2015-06-12,0.017431,0.017963,0.01687,0.023278,0.029018,0.032518,0.035404,0.036226,0.039817,0.040778
104,2015-06-15,0.017742,0.017563,0.016482,0.023263,0.029282,0.032833,0.035769,0.036681,0.040273,0.041234
105,2015-06-16,0.017667,0.017908,0.016407,0.023326,0.029342,0.032756,0.035394,0.036099,0.039691,0.040652
106,2015-06-17,0.017996,0.018508,0.01689,0.023643,0.029468,0.032737,0.035296,0.036052,0.039561,0.040526
107,2015-06-18,0.018022,0.018611,0.017044,0.023682,0.028998,0.032043,0.034926,0.03573,0.039236,0.040201
108,2015-06-19,0.018492,0.018228,0.017494,0.023287,0.028662,0.031853,0.035115,0.035825,0.039331,0.040296
109,2015-06-23,0.018354,0.018485,0.017159,0.023244,0.02857,0.031923,0.03528,0.036054,0.03956,0.040525
110,2015-06-24,0.018275,0.018121,0.017165,0.02329,0.028687,0.032127,0.035318,0.036079,0.039585,0.04055
111,2015-06-25,0.018151,0.018556,0.017127,0.023252,0.028699,0.032129,0.035317,0.036027,0.039523,0.040488
112,2015-06-26,0.018151,0.018484,0.017628,0.023226,0.028662,0.032134,0.035322,0.03608,0.039575,0.04054
113,2015-06-29,0.017912,0.018657,0.017528,0.02327,0.028859,0.032278,0.035307,0.03603,0.039526,0.040491
114,2015-06-30,0.019197,0.018659,0.017378,0.02343,0.028973,0.032084,0.035338,0.035976,0.039476,0.040477
115,2015-07-01,0.019684,0.018573,0.017378,0.023517,0.028917,0.031678,0.035463,0.036127,0.039626,0.040628
116,2015-07-02,0.019883,0.018773,0.017745,0.023481,0.028785,0.031822,0.035639,0.036223,0.039726,0.040636
117,2015-07-03,0.019641,0.018874,0.01774,0.023613,0.028843,0.031587,0.035252,0.035719,0.039222,0.040752
118,2015-07-06,0.019327,0.018489,0.017455,0.023164,0.028328,0.031125,0.034527,0.034917,0.038422,0.039952
119,2015-07-07,0.019161,0.019283,0.019155,0.023714,0.028252,0.031321,0.034151,0.034361,0.037866,0.039396
120,2015-07-08,0.019634,0.020537,0.022655,0.025534,0.028402,0.031249,0.034481,0.034307,0.037814,0.039344
